
         0         0    1.0000
    0.0000    0.2474    0.9689
   -0.2143    0.1237    0.9689
   -0.2143   -0.1237    0.9689
   -0.0000   -0.2474    0.9689
    0.2143   -0.1237    0.9689
    0.2143    0.1237    0.9689
    0.0000    0.4794    0.8776
   -0.2397    0.4152    0.8776
   -0.4152    0.2397    0.8776
   -0.4794    0.0000    0.8776
   -0.4152   -0.2397    0.8776
   -0.2397   -0.4152    0.8776
   -0.0000   -0.4794    0.8776
    0.2397   -0.4152    0.8776
    0.4152   -0.2397    0.8776
    0.4794   -0.0000    0.8776
    0.4152    0.2397    0.8776
    0.2397    0.4152    0.8776
    0.0000    0.6816    0.7317
   -0.2462    0.6356    0.7317
   -0.4592    0.5037    0.7317
   -0.6102    0.3038    0.7317
   -0.6787    0.0629    0.7317
   -0.6556   -0.1865    0.7317
   -0.5440   -0.4108    0.7317
   -0.3588   -0.5795    0.7317
   -0.1252   -0.6700    0.7317
    0.1252   -0.6700    0.7317
    0.3588   -0.5795    0.7317
    0.5440   -0.4108    0.7317
    0.6556   -0.1865    0.7317
    0.6787    0.0629    0.7317
    0.6102    0.3038    0.7317
    0.4592    0.5037    0.7317
    0.2462    0.6356    0.7317
    0.0000    0.8415    0.5403
   -0.2480    0.8041    0.5403
   -0.4740    0.6953    0.5403
   -0.6579    0.5246    0.5403
   -0.7833    0.3074    0.5403
   -0.8391    0.0629    0.5403
   -0.8204   -0.1872    0.5403
   -0.7287   -0.4207    0.5403
   -0.5723   -0.6168    0.5403
   -0.3651   -0.7581    0.5403
   -0.1254   -0.8321    0.5403
    0.1254   -0.8321    0.5403
    0.3651   -0.7581    0.5403
    0.5723   -0.6168    0.5403
    0.7287   -0.4207    0.5403
    0.8204   -0.1872    0.5403
    0.8391    0.0629    0.5403
    0.7833    0.3074    0.5403
    0.6579    0.5246    0.5403
    0.4740    0.6953    0.5403
    0.2480    0.8041    0.5403
    0.0000    0.9490    0.3153
   -0.2560    0.9138    0.3153
   -0.4931    0.8108    0.3153
   -0.6936    0.6477    0.3153
   -0.8426    0.4366    0.3153
   -0.9291    0.1931    0.3153
   -0.9468   -0.0648    0.3153
   -0.8942   -0.3178    0.3153
   -0.7753   -0.5473    0.3153
   -0.5989   -0.7361    0.3153
   -0.3781   -0.8704    0.3153
   -0.1292   -0.9401    0.3153
    0.1292   -0.9401    0.3153
    0.3781   -0.8704    0.3153
    0.5989   -0.7361    0.3153
    0.7753   -0.5473    0.3153
    0.8942   -0.3178    0.3153
    0.9468   -0.0648    0.3153
    0.9291    0.1931    0.3153
    0.8426    0.4366    0.3153
    0.6936    0.6477    0.3153
    0.4931    0.8108    0.3153
    0.2560    0.9138    0.3153
    0.0000    0.9975    0.0707
   -0.2481    0.9662    0.0707
   -0.4805    0.8741    0.0707
   -0.6828    0.7271    0.0707
   -0.8422    0.5345    0.0707
   -0.9487    0.3082    0.0707
   -0.9955    0.0626    0.0707
   -0.9798   -0.1869    0.0707
   -0.9026   -0.4247    0.0707
   -0.7686   -0.6358    0.0707
   -0.5863   -0.8070    0.0707
   -0.3672   -0.9274    0.0707
   -0.1250   -0.9896    0.0707
    0.1250   -0.9896    0.0707
    0.3672   -0.9274    0.0707
    0.5863   -0.8070    0.0707
    0.7686   -0.6358    0.0707
    0.9026   -0.4247    0.0707
    0.9798   -0.1869    0.0707
    0.9955    0.0626    0.0707
    0.9487    0.3082    0.0707
    0.8422    0.5345    0.0707
    0.6828    0.7271    0.0707
