1019	3.95	5.77
1022	4.26	6.02
1030	4.3	5.46
1040	3.99	6.25
1050	3.46	6.87
1051	3.8	5.95
1052	3.5	6.52
1070	3.96	6.16
1080	4.24	5.69
1090	3.7	5.88
1101	4.1	5.83
1110	3.84	5.96
1111	3.25	5.2
1112	4.71	4.6
1113	3.81	6.06
1114	4.03	6.33
1120	3.79	6.93
1121	5.79	4.83
1200	3.95	6.03
1201	3.55	6.36
1205	3.65	5.79
1220	3.47	5.57
1230	4.09	4.85
1230	4.61	4.03
1240	4.22	4.92
1270	3.68	4.77
1274	3.17	5.39
1275	3.3	4.81
1280	3.66	4.93
1300	3.55	6.79
1301	3.7	5.77
1302	4.21	6
1303	4.68	5.7
1310	4.6	6
1313	5.65	4.39
1321	4.32	6.64
1333	6.11	3.17
1340	7.13	4.75
1390	4.5	5.29
1419	6.54	3.48
1440	8.19	4.61
1450	6.37	2.83
1460	8.21	4.31
1463	7.45	4.79
1500	7.24	4.12
1510	7.01	4.28
1525	3.09	6.51
1540	7.15	4.54
1560	5.97	5.51
1590	7.18	4.74
1590	7.24	4.8
1600	7.37	4.05
1601	6.86	3.92
1602	6.5	3.43
1603	6.9	3.37
1604	7.11	3.3
1610	7.82	3.08
1610	7.69	3.98
1616	5.21	3.95
1620	7.37	3.54
1640	6.27	5.13
1640	6.16	5.18
1650	6.65	6.23
1660	6.49	4.57
1661	6.14	4.05
1670	6.81	3.05
1670	5.82	3.33
1710	8.34	5.41
1720	6.79	5.32
1721	7.3	4.53
1722	7.04	5.22
1726	4.79	6.23
1731	7.07	4.56
1740	6.91	4.27
1750	8.28	4.1
1810	6.52	4.45
1811	7.62	5.12
1812	6.83	3.6
1850	6.15	4.06
1900	6.65	3.46
1910	6.71	3.29
1920	7.9	4.27
1930	3.79	6.42
1931	4	6.8
1932	3.85	6.47
1935	4.88	4.29
1942	6.26	4.01
1945	4.59	4.42
1947	5.85	4.35
1999	7.43	4.77
2000	6.51	3.32
2005	6	4.07
2010	6.25	3.32
2020	5.68	3.34
2025	5.78	4.3
2030	6.71	4.54
2040	8.17	4.64
2050	8.2	4.57
2053	2.47	5.25
2057	7.81	4.54
2058	7.91	5.09
2070	8.17	4.51
2071	7.86	5
2080	8.09	4.7
2091	7.68	4.51
2092	6.28	4.32
2095	1.79	5.25
2100	3.85	4.53
2110	3.71	4.53
2120	3.34	5.18
2130	4.08	5.02
2141	2.44	5
2150	7.92	5
2160	7.58	5.16
2165	7.63	4.55
2170	7.55	4.08
2190	4.83	2.41
2191	5.3	3.61
2200	4.79	3.18
2205	1.95	4.53
2206	4.06	3.71
2208	7.35	5.68
2209	7.64	5.59
2210	4.38	3.56
2210	4.7	3.08
2214	5.01	3.46
